country;currency;continent;neighbours;timestamp
Hungary;Forint;Europe;Slovakia, Slovenia, Romania, Ukraine, Serbia and Montenegro, Croatia, Austria, Serbia;2024-08-29 00:53:38
Iceland;Krona;Europe;;2024-08-29 00:53:38
India;Rupee;Asia;China, Nepal, Myanmar, Bhutan, Pakistan, Bangladesh;2024-08-29 00:53:39
Indonesia;Rupiah;Asia;Papua New Guinea, East Timor, Malaysia;2024-08-29 00:53:40
Iran;Rial;Asia;Turkmenistan, Afghanistan, Iraq, Armenia, Pakistan, Azerbaijan, Turkey;2024-08-29 00:53:42
Iraq;Dinar;Asia;Syria, Saudi Arabia, Iran, Jordan, Turkey, Kuwait;2024-08-29 00:53:43
Ireland;Euro;Europe;United Kingdom;2024-08-29 00:53:43
Isle of Man;Pound;Europe;;2024-08-29 00:53:44
Israel;Shekel;Asia;Syria, Jordan, Lebanon, Egypt, Palestinian Territory;2024-08-29 00:53:45
Italy;Euro;Europe;Switzerland, Vatican, Slovenia, San Marino, France, Austria;2024-08-29 00:53:46
Ivory Coast;Franc;Africa;Liberia, Ghana, Guinea, Burkina Faso, Mali;2024-08-29 00:53:48
Jamaica;Dollar;North America;;2024-08-29 00:53:48
Japan;Yen;Asia;;2024-08-29 00:53:49
Jersey;Pound;Europe;;2024-08-29 00:53:49
Jordan;Dinar;Asia;Syria, Saudi Arabia, Iraq, Israel, Palestinian Territory;2024-08-29 00:53:50
Kazakhstan;Tenge;Asia;Turkmenistan, China, Kyrgyzstan, Uzbekistan, Russia;2024-08-29 00:53:51
Kenya;Shilling;Africa;Ethiopia, Tanzania, South Sudan, Somalia, Uganda;2024-08-29 00:53:52
Kiribati;Dollar;Oceania;;2024-08-29 00:53:53
Kosovo;Euro;Europe;Serbia, Albania, Macedonia, Montenegro;2024-08-29 00:53:54
Kuwait;Dinar;Asia;Saudi Arabia, Iraq;2024-08-29 00:53:54
Kyrgyzstan;Som;Asia;China, Tajikistan, Uzbekistan, Kazakhstan;2024-08-29 00:53:55
Laos;Kip;Asia;China, Myanmar, Cambodia, Thailand, Vietnam;2024-08-29 00:53:57
Latvia;Euro;Europe;Lithuania, Estonia, Belarus, Russia;2024-08-29 00:53:58
Lebanon;Pound;Asia;Syria, Israel;2024-08-29 00:53:58
Lesotho;Loti;Africa;South Africa;2024-08-29 00:53:59
Liberia;Dollar;Africa;Sierra Leone, Ivory Coast, Guinea;2024-08-29 00:53:59
Libya;Dinar;Africa;Chad, Niger, Algeria, Sudan, Tunisia, Egypt;2024-08-29 00:54:01
Liechtenstein;Franc;Europe;Switzerland, Austria;2024-08-29 00:54:01
Lithuania;Litas;Europe;Poland, Belarus, Russia, Latvia;2024-08-29 00:54:02
Luxembourg;Euro;Europe;Germany, Belgium, France;2024-08-29 00:54:03
Macao;Pataca;Asia;;2024-08-29 00:54:03
Macedonia;Denar;Europe;Albania, Greece, Serbia and Montenegro, Bulgaria, Serbia, Kosovo;2024-08-29 00:54:05
Madagascar;Ariary;Africa;;2024-08-29 00:54:05
Malawi;Kwacha;Africa;Tanzania, Mozambique, Zambia;2024-08-29 00:54:06
Malaysia;Ringgit;Asia;Brunei, Thailand, Indonesia;2024-08-29 00:54:07
Maldives;Rufiyaa;Asia;;2024-08-29 00:54:07
Mali;Franc;Africa;Senegal, Niger, Algeria, Ivory Coast, Guinea, Mauritania, Burkina Faso;2024-08-29 00:54:09
Malta;Euro;Europe;;2024-08-29 00:54:09
Marshall Islands;Dollar;Oceania;;2024-08-29 00:54:09
Martinique;Euro;North America;;2024-08-29 00:54:10
Mauritania;Ouguiya;Africa;Senegal, Algeria, Western Sahara, Mali;2024-08-29 00:54:11
Mauritius;Rupee;Africa;;2024-08-29 00:54:11
Mayotte;Euro;Africa;;2024-08-29 00:54:12
Mexico;Peso;North America;Guatemala, United States, Belize;2024-08-29 00:54:12
Micronesia;Dollar;Oceania;;2024-08-29 00:54:13
Moldova;Leu;Europe;Romania, Ukraine;2024-08-29 00:54:13
Monaco;Euro;Europe;France;2024-08-29 00:54:14
Mongolia;Tugrik;Asia;China, Russia;2024-08-29 00:54:14
Montenegro;Euro;Europe;Albania, Croatia, Bosnia and Herzegovina, Serbia, Kosovo;2024-08-29 00:54:16
Montserrat;Dollar;North America;;2024-08-29 00:54:16
Morocco;Dirham;Africa;Algeria, Western Sahara, Spain;2024-08-29 00:54:17
Mozambique;Metical;Africa;Zimbabwe, Tanzania, Swaziland, South Africa, Zambia, Malawi;2024-08-29 00:54:18
Myanmar;Kyat;Asia;China, Laos, Thailand, Bangladesh, India;2024-08-29 00:54:19
Namibia;Dollar;Africa;South Africa, Botswana, Zambia, Angola;2024-08-29 00:54:20
Nauru;Dollar;Oceania;;2024-08-29 00:54:21
Nepal;Rupee;Asia;China, India;2024-08-29 00:54:21
Netherlands;Euro;Europe;Germany, Belgium;2024-08-29 00:54:22
Netherlands Antilles;Guilder;North America;Guadeloupe;2024-08-29 00:54:22
New Caledonia;Franc;Oceania;;2024-08-29 00:54:23
New Zealand;Dollar;Oceania;;2024-08-29 00:54:23
Nicaragua;Cordoba;North America;Costa Rica, Honduras;2024-08-29 00:54:24
Niger;Franc;Africa;Chad, Benin, Algeria, Libya, Burkina Faso, Nigeria, Mali;2024-08-29 00:54:25
Nigeria;Naira;Africa;Chad, Niger, Benin, Cameroon;2024-08-29 00:54:26
Niue;Dollar;Oceania;;2024-08-29 00:54:27
Norfolk Island;Dollar;Oceania;;2024-08-29 00:54:27
North Korea;Won;Asia;China, South Korea, Russia;2024-08-29 00:54:28
Northern Mariana Islands;Dollar;Oceania;;2024-08-29 00:54:28
Norway;Krone;Europe;Finland, Russia, Sweden;2024-08-29 00:54:29
Oman;Rial;Asia;Saudi Arabia, Yemen, United Arab Emirates;2024-08-29 00:54:30
Pakistan;Rupee;Asia;China, Afghanistan, Iran, India;2024-08-29 00:54:31
Palau;Dollar;Oceania;;2024-08-29 00:54:31
Palestinian Territory;Shekel;Asia;Jordan, Israel;2024-08-29 00:54:32
Panama;Balboa;North America;Costa Rica, Colombia;2024-08-29 00:54:33
Papua New Guinea;Kina;Oceania;Indonesia;2024-08-29 00:54:33
Paraguay;Guarani;South America;Bolivia, Brazil, Argentina;2024-08-29 00:54:34
Peru;Sol;South America;Ecuador, Chile, Bolivia, Brazil, Colombia;2024-08-29 00:54:35
Philippines;Peso;Asia;;2024-08-29 00:54:35
Pitcairn;Dollar;Oceania;;2024-08-29 00:54:36
Poland;Zloty;Europe;Germany, Lithuania, Slovakia, Czech Republic, Belarus, Ukraine, Russia;2024-08-29 00:54:37
Portugal;Euro;Europe;Spain;2024-08-29 00:54:37
Puerto Rico;Dollar;North America;;2024-08-29 00:54:38
Qatar;Rial;Asia;Saudi Arabia;2024-08-29 00:54:38
Republic of the Congo;Franc;Africa;Central African Republic, Gabon, Democratic Republic of the Congo, Cameroon, Angola;2024-08-29 00:54:40
Reunion;Euro;Africa;;2024-08-29 00:54:40
Romania;Leu;Europe;Moldova, Hungary, Ukraine, Serbia and Montenegro, Bulgaria, Serbia;2024-08-29 00:54:41
Russia;Ruble;Europe;Georgia, China, Belarus, Ukraine, Kazakhstan, Latvia, Poland, Estonia, Lithuania, Finland, Mongolia, Norway, Azerbaijan, North Korea;2024-08-29 00:54:44
Rwanda;Franc;Africa;Tanzania, Democratic Republic of the Congo, Burundi, Uganda;2024-08-29 00:54:45
Saint Barthelemy;Euro;North America;;2024-08-29 00:54:45
Saint Helena;Pound;Africa;;2024-08-29 00:54:46
Saint Kitts and Nevis;Dollar;North America;;2024-08-29 00:54:46
Saint Lucia;Dollar;North America;;2024-08-29 00:54:47
Saint Martin;Euro;North America;Sint Maarten;2024-08-29 00:54:47
Saint Pierre and Miquelon;Euro;North America;;2024-08-29 00:54:47
Saint Vincent and the Grenadines;Dollar;North America;;2024-08-29 00:54:48
Samoa;Tala;Oceania;;2024-08-29 00:54:48
San Marino;Euro;Europe;Italy;2024-08-29 00:54:49
Sao Tome and Principe;Dobra;Africa;;2024-08-29 00:54:49
Saudi Arabia;Rial;Asia;Qatar, Oman, Iraq, Yemen, Jordan, United Arab Emirates, Kuwait;2024-08-29 00:54:51
Senegal;Franc;Africa;Guinea, Mauritania, Guinea-Bissau, Gambia, Mali;2024-08-29 00:54:52
Serbia;Dinar;Europe;Albania, Hungary, Macedonia, Romania, Croatia, Bosnia and Herzegovina, Bulgaria, Montenegro, Kosovo;2024-08-29 00:54:54
Serbia and Montenegro;Dinar;Europe;Albania, Hungary, Macedonia, Romania, Croatia, Bosnia and Herzegovina, Bulgaria;2024-08-29 00:54:55
Seychelles;Rupee;Africa;;2024-08-29 00:54:56
Sierra Leone;Leone;Africa;Liberia, Guinea;2024-08-29 00:54:56
Singapore;Dollar;Asia;;2024-08-29 00:54:57
Sint Maarten;Guilder;North America;Saint Martin;2024-08-29 00:54:57
Slovakia;Euro;Europe;Poland, Hungary, Czech Republic, Ukraine, Austria;2024-08-29 00:54:58
Slovenia;Euro;Europe;Hungary, Italy, Croatia, Austria;2024-08-29 00:54:59
Solomon Islands;Dollar;Oceania;;2024-08-29 00:54:59
Somalia;Shilling;Africa;Ethiopia, Kenya, Djibouti;2024-08-29 00:55:00
South Africa;Rand;Africa;Zimbabwe, Swaziland, Mozambique, Botswana, Namibia, Lesotho;2024-08-29 00:55:02
South Georgia and the South Sandwich Islands;Pound;Antractica;;2024-08-29 00:55:02
South Korea;Won;Asia;North Korea;2024-08-29 00:55:03
South Sudan;Pound;Africa;Democratic Republic of the Congo, Central African Republic, Ethiopia, Kenya, Sudan, Uganda, ;2024-08-29 00:55:04
Spain;Euro;Europe;Andorra, Portugal, Gibraltar, France, Morocco;2024-08-29 00:55:05
Sri Lanka;Rupee;Asia;;2024-08-29 00:55:06
Sudan;Pound;Africa;South Sudan, Chad, Egypt, Ethiopia, Eritrea, Libya, Central African Republic;2024-08-29 00:55:07
Suriname;Dollar;South America;Guyana, Brazil, French Guiana;2024-08-29 00:55:08
Svalbard and Jan Mayen;Krone;Europe;;2024-08-29 00:55:08
Swaziland;Lilangeni;Africa;South Africa, Mozambique;2024-08-29 00:55:09
Sweden;Krona;Europe;Norway, Finland;2024-08-29 00:55:09
Switzerland;Franc;Europe;Germany, Italy, Liechtenstein, France, Austria;2024-08-29 00:55:11
Syria;Pound;Asia;Iraq, Jordan, Israel, Turkey, Lebanon;2024-08-29 00:55:12
Taiwan;Dollar;Asia;;2024-08-29 00:55:12
Tajikistan;Somoni;Asia;China, Afghanistan, Kyrgyzstan, Uzbekistan;2024-08-29 00:55:13
Tanzania;Shilling;Africa;Mozambique, Kenya, Democratic Republic of the Congo, Rwanda, Zambia, Burundi, Uganda, Malawi;2024-08-29 00:55:15
Thailand;Baht;Asia;Laos, Myanmar, Cambodia, Malaysia;2024-08-29 00:55:16
Togo;Franc;Africa;Benin, Ghana, Burkina Faso;2024-08-29 00:55:17
Tokelau;Dollar;Oceania;;2024-08-29 00:55:17
Tonga;Pa'anga;Oceania;;2024-08-29 00:55:17
Trinidad and Tobago;Dollar;North America;;2024-08-29 00:55:18
Tunisia;Dinar;Africa;Algeria, Libya;2024-08-29 00:55:18
Turkey;Lira;Asia;Syria, Georgia, Iraq, Iran, Greece, Armenia, Azerbaijan, Bulgaria;2024-08-29 00:55:20
Turkmenistan;Manat;Asia;Afghanistan, Iran, Uzbekistan, Kazakhstan;2024-08-29 00:55:21
Turks and Caicos Islands;Dollar;North America;;2024-08-29 00:55:21
Tuvalu;Dollar;Oceania;;2024-08-29 00:55:22
U.S. Virgin Islands;Dollar;North America;;2024-08-29 00:55:22
Uganda;Shilling;Africa;Tanzania, Kenya, South Sudan, Democratic Republic of the Congo, Rwanda;2024-08-29 00:55:23
Ukraine;Hryvnia;Europe;Poland, Moldova, Hungary, Slovakia, Belarus, Romania, Russia;2024-08-29 00:55:25
United Arab Emirates;Dirham;Asia;Saudi Arabia, Oman;2024-08-29 00:55:25
United Kingdom;Pound;Europe;Ireland;2024-08-29 00:55:26
United States;Dollar;North America;Canada, Mexico, Cuba;2024-08-29 00:55:27
United States Minor Outlying Islands;Dollar;Oceania;;2024-08-29 00:55:27
Uruguay;Peso;South America;Brazil, Argentina;2024-08-29 00:55:28
Uzbekistan;Som;Asia;Turkmenistan, Afghanistan, Kyrgyzstan, Tajikistan, Kazakhstan;2024-08-29 00:55:29
Vanuatu;Vatu;Oceania;;2024-08-29 00:55:29
Vatican;Euro;Europe;Italy;2024-08-29 00:55:30
Venezuela;Bolivar;South America;Guyana, Brazil, Colombia;2024-08-29 00:55:30
Vietnam;Dong;Asia;China, Laos, Cambodia;2024-08-29 00:55:31
Wallis and Futuna;Franc;Oceania;;2024-08-29 00:55:31
Western Sahara;Dirham;Africa;Algeria, Mauritania, Morocco;2024-08-29 00:55:32
Yemen;Rial;Asia;Saudi Arabia, Oman;2024-08-29 00:55:33
Zambia;Kwacha;Africa;Zimbabwe, Tanzania, Mozambique, Democratic Republic of the Congo, Namibia, Malawi, Angola;2024-08-29 00:55:34
Zimbabwe;Dollar;Africa;South Africa, Mozambique, Botswana, Zambia;2024-08-29 00:55:35
